# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c2019ed228
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
128533c80e5ab2a0,main_74_gpu_red,20.32,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3198,514,3056,0,1,8,256,0,86938,11409,2056,0,1,2096,1,0,0,2872,2
128533c80e5b1120,memcpyDtoHasync,2.272,5490,,,,,,,,,,,0,0,8,0
128533c80e5e4d80,main_58_gpu,5106.94,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,150272,37568,122233,6435,585,0,172848,0,0,0,0,373430,2377076,148976,1550396,0,148920,4672,149504,0,139534578,2926724,8341968,0,5236226,8857297,4407797,0,0,12831176,5414502
128533c80eac9f00,memcpyHtoD,1.728,5056,,,,,,,,,,,0,0,8,0
128533c80eadf5e0,main_70_gpu,5462.3,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191720,37993,136040,18104,584,0,195374,0,0,2920,0,519747,2665142,161538,1872304,0,149856,4672,149504,0,143310207,3129432,9048040,0,5244418,8853827,4825629,0,0,12839388,5934757
128533c80f015ce0,main_74_gpu_red,20.352,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3198,514,3056,0,1,8,256,0,86803,11371,2056,0,1,2096,6,0,0,2872,12
128533c80f01bb80,memcpyDtoHasync,2.272,5493,,,,,,,,,,,0,0,8,0
128533c80f04f6a0,main_58_gpu,5110.82,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149440,37360,122265,6435,585,0,172832,0,0,0,0,373538,2377749,148719,1558760,0,149696,4672,149504,0,139433831,2924692,8345072,0,5236226,8869463,4413539,0,0,12846864,5429183
128533c80f5359a0,memcpyHtoD,1.696,5061,,,,,,,,,,,0,0,8,0
128533c80f54b000,main_70_gpu,5462.72,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136072,18104,584,0,194706,0,0,2925,0,519953,2666292,162079,1875078,0,150001,4672,149504,0,143357796,3131438,9054432,0,5244418,8853995,4828432,0,0,12832478,5935068
128533c80fa81880,main_74_gpu_red,20.32,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87441,11395,2056,0,1,2096,1,0,0,2872,2
128533c80fa87680,memcpyDtoHasync,2.272,5494,,,,,,,,,,,0,0,8,0
128533c80fabb020,main_58_gpu,5108.42,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149248,37312,122040,6424,584,0,173112,0,0,0,0,373515,2376575,148563,1555716,0,149394,4680,149760,0,139566848,2927470,8341040,0,5236226,8863355,4404791,0,0,12825429,5402805
128533c80ffa0700,memcpyHtoD,1.696,5058,,,,,,,,,,,0,0,8,0
128533c80ffb5ce0,main_70_gpu,5461.25,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191472,37944,136289,18135,585,0,195040,0,0,2920,0,518586,2666345,162364,1872304,0,149728,4672,149504,0,143406722,3129290,9064876,0,5244418,8853193,4823626,0,0,12833998,5932398
128533c8104ebfc0,main_74_gpu_red,20.576,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87491,11519,2056,0,1,2096,1,0,0,2872,2
128533c8104f1fa0,memcpyDtoHasync,2.272,5493,,,,,,,,,,,0,0,8,0
128533c810525ae0,main_58_gpu,5107.07,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149632,37408,122458,6446,586,0,173144,0,0,0,0,374468,2378230,149032,1557992,0,149616,4688,150016,0,139380009,2922576,8345760,0,5236226,8864072,4411618,0,0,12834480,5418688
128533c810a0ac00,memcpyHtoD,1.696,5056,,,,,,,,,,,0,0,8,0
128533c810a203a0,main_70_gpu,5458.46,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136056,18104,584,0,195358,0,0,2920,0,519013,2662664,162918,1875078,0,149953,4672,149504,0,143441362,3129288,9059760,0,5244418,8852994,4821400,0,0,12833467,5928257
128533c810f55ba0,main_74_gpu_red,20.384,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87384,11533,2056,0,1,2096,1,0,0,2872,2
128533c810f5ba80,memcpyDtoHasync,2.272,5490,,,,,,,,,,,0,0,8,0
128533c810f8f540,main_58_gpu,5103.3,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149632,37408,122233,6435,585,0,173128,0,0,0,0,373288,2374399,149320,1553440,0,149128,4688,150016,0,139385812,2929052,8344424,0,5236226,8859090,4407211,0,0,12826396,5407006
128533c811473aa0,memcpyHtoD,1.696,5053,,,,,,,,,,,0,0,8,0
128533c811489240,main_70_gpu,5458.08,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191392,37928,136056,18104,584,0,195692,0,0,2920,0,519124,2662411,161583,1871872,0,149720,4672,149504,0,143421713,3126630,9064260,0,5244418,8853478,4824788,0,0,12842721,5934595
128533c8119be8c0,main_74_gpu_red,20.384,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,86961,11335,2056,0,1,2096,1,0,0,2872,2
128533c8119c4760,memcpyDtoHasync,2.304,5490,,,,,,,,,,,0,0,8,0
128533c8119fd040,main_58_gpu,5101.25,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149760,37440,122442,6446,586,0,173424,0,0,0,0,373879,2380458,149221,1555716,0,149416,4680,149760,0,140005454,2918218,8348288,0,5236226,8863381,4410883,0,0,12821704,5414775
128533c811ee0b60,memcpyHtoD,1.696,5050,,,,,,,,,,,0,0,8,0
128533c811ef6340,main_70_gpu,5459.01,5,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191552,37960,136289,18135,585,0,195390,0,0,2920,0,518936,2665366,162363,1875510,0,150025,4672,149504,0,143555559,3128970,9055216,0,5244418,8854532,4821022,0,0,12838000,5926539
128533c81242bd40,main_74_gpu_red,20.384,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3199,514,3056,0,1,8,256,0,86728,11493,2056,0,1,2096,1,0,0,2872,2
128533c812431c00,memcpyDtoHasync,2.272,5490,,,,,,,,,,,0,0,8,0
128533c812467120,main_58_gpu,5107.58,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149440,37360,122442,6446,586,0,172848,0,0,0,0,373889,2380197,148964,1555716,0,149376,4680,149760,0,139759457,2927412,8342264,0,5236226,8862954,4407254,0,0,12822066,5409282
128533c81294c460,memcpyHtoD,1.728,5057,,,,,,,,,,,0,0,8,0
128533c812961bc0,main_70_gpu,5460,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191472,37944,136273,18135,585,0,195040,0,0,2920,0,518929,2668144,161993,1872304,0,149784,4672,149504,0,143570771,3130796,9052836,0,5244418,8852449,4825365,0,0,12839342,5931632
128533c812e979a0,main_74_gpu_red,20.544,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3203,514,3056,0,1,8,256,0,87907,11387,2056,0,1,2096,1,0,0,2872,2
128533c812e9d920,memcpyDtoHasync,2.24,5491,,,,,,,,,,,0,0,8,0
128533c812ed32a0,main_58_gpu,5106.02,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149888,37472,122249,6435,585,0,173144,0,0,0,0,374681,2378998,148213,1555716,0,149480,4672,149504,0,139679712,2926284,8343348,0,5236226,8860921,4406367,0,0,12830053,5409177
128533c8133b8140,memcpyHtoD,1.696,5055,,,,,,,,,,,0,0,8,0
128533c8133cd880,main_70_gpu,5465.22,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191472,37944,136289,18135,585,0,195342,0,0,2925,0,518342,2668517,160767,1881058,0,150475,4672,149504,0,143504852,3127264,9061244,0,5244418,8853601,4820546,0,0,12835537,5929526
128533c813904ac0,main_74_gpu_red,20.384,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,86746,11429,2056,0,1,2096,1,0,0,2872,2
128533c81390a980,memcpyDtoHasync,2.24,5496,,,,,,,,,,,0,0,8,0
128533c813940b80,main_58_gpu,5103.46,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149696,37424,122249,6435,585,0,173128,0,0,0,0,373696,2383776,148842,1552672,0,149090,4680,149760,0,139504725,2935906,8348412,0,5236226,8862846,4408064,0,0,12824613,5412142
128533c813e24e60,memcpyHtoD,1.696,5052,,,,,,,,,,,0,0,8,0
128533c813e3a4a0,main_70_gpu,5464.9,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136289,18135,585,0,195390,0,0,2925,0,520163,2664337,162864,1874646,0,149937,4680,149760,0,143500247,3129102,9057320,0,5244418,8852343,4825834,0,0,12839707,5936981
128533c8143715a0,main_74_gpu_red,20.544,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3200,514,3056,0,1,8,256,0,86376,11393,2056,0,1,2096,1,0,0,2872,2
128533c814377500,memcpyDtoHasync,2.272,5496,,,,,,,,,,,0,0,8,0
128533c8143aafc0,main_58_gpu,5105.82,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149760,37440,122040,6424,584,0,173160,0,0,0,0,373690,2382943,149532,1552672,0,149080,4680,149760,0,139568835,2929782,8343068,0,5236226,8860415,4406678,0,0,12826807,5410489
128533c81488ff00,memcpyHtoD,1.728,5051,,,,,,,,,,,0,0,8,0
128533c8148a5640,main_70_gpu,5463.71,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191392,37928,136305,18135,585,0,195024,0,0,2920,0,519234,2664483,161782,1875510,0,150041,4672,149504,0,143325040,3126692,9064188,0,5244418,8852378,4824557,0,0,12838190,5933247
128533c814ddc240,main_74_gpu_red,20.512,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87800,11529,2056,0,1,2096,1,0,0,2872,2
128533c814de2180,memcpyDtoHasync,2.272,5495,,,,,,,,,,,0,0,8,0
128533c814e160a0,main_58_gpu,5108.19,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149696,37424,122040,6424,584,0,172552,0,0,0,0,374315,2381118,147875,1555716,0,149448,4680,149760,0,139741683,2924542,8344060,0,5236226,8861464,4406432,0,0,12820280,5408553
128533c8152fb7e0,memcpyHtoD,1.696,5058,,,,,,,,,,,0,0,8,0
128533c815310f80,main_70_gpu,5461.98,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191472,37944,136056,18104,584,0,195708,0,0,2925,0,519572,2664597,162521,1874646,0,149897,4680,149760,0,143336715,3129958,9047440,0,5244418,8855294,4825862,0,0,12836151,5933180
128533c815847580,main_74_gpu_red,20.288,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87571,11475,2056,0,1,2096,1,0,0,2872,2
128533c81584d3e0,memcpyDtoHasync,2.24,5493,,,,,,,,,,,0,0,8,0
128533c815880f00,main_58_gpu,5109.66,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149696,37424,122217,6435,585,0,173144,0,0,0,0,373275,2377965,149086,1555716,0,149456,4672,149504,0,139617500,2925518,8353212,0,5236226,8859654,4408531,0,0,12838279,5416184
128533c815d66c20,memcpyHtoD,1.696,5060,,,,,,,,,,,0,0,8,0
128533c815d7d5c0,main_70_gpu,5458.91,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191392,37928,136273,18135,585,0,195358,0,0,2925,0,520050,2663324,163139,1871872,0,149776,4672,149504,0,143571937,3128178,9051580,0,5244418,8852748,4822927,0,0,12837711,5931858
128533c8162b2ee0,main_74_gpu_red,20.576,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87153,11423,2056,0,1,2096,1,0,0,2872,2
128533c8162b8e60,memcpyDtoHasync,2.272,5490,,,,,,,,,,,0,0,8,0
128533c8162ec9c0,main_58_gpu,5099.97,6,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149440,37360,122442,6446,586,0,173736,0,0,0,0,375043,2383918,149184,1555332,0,149312,4688,150016,0,139340946,2920950,8347392,0,5236226,8858044,4411769,0,0,12839939,5424163
128533c8167d0160,memcpyHtoD,1.696,5051,,,,,,,,,,,0,0,8,0
128533c8167e58e0,main_70_gpu,5456.54,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191392,37928,136289,18135,585,0,195024,0,0,2925,0,520460,2668011,162592,1875078,0,149977,4672,149504,0,143588745,3127234,9056384,0,5244418,8855166,4821075,0,0,12832504,5927140
128533c816d1a940,main_74_gpu_red,20.352,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87185,11391,2056,0,1,2096,1,0,0,2872,2
128533c816d20860,memcpyDtoHasync,2.272,5488,,,,,,,,,,,0,0,8,0
128533c816d547e0,main_58_gpu,5109.34,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149376,37344,122040,6424,584,0,173456,0,0,0,0,374788,2377732,149184,1555332,0,149288,4688,150016,0,139544366,2931986,8344688,0,5236226,8858466,4408964,0,0,12833266,5416090
128533c81723a3a0,memcpyHtoD,1.664,5060,,,,,,,,,,,0,0,8,0
