# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c201acad28
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
1285339f6613bdc0,main_71_gpu,5204.03,6,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,36064,36064,111606,5874,534,0,167832,0,0,0,0,36105,1426756,97571,1149968,0,132840,4160,133120,0,146417852,3075510,6185596,0,5236226,8902569,4489526,0,0,12996090,5681537
1285339f66639000,memcpyHtoD,1.696,5144,,,,,,,,,,,0,0,8,0
1285339f66664b60,main_58_gpu,5463.42,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191064,37863,135823,18073,583,0,194340,0,0,2910,0,518082,2657591,161842,1865028,0,149182,4672,149504,0,142907419,3123614,9170788,0,5244418,8887750,4788605,0,0,12956805,5916252
1285339f66b9b660,main_62_gpu_red,20.448,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3203,514,3056,0,1,8,256,0,87177,11425,2056,0,1,2084,1,0,0,2860,2
1285339f66ba1520,memcpyDtoHasync,2.272,5493,,,,,,,,,,,0,0,8,0
1285339f66bdad60,main_71_gpu,5270.34,6,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32752,32752,106574,5610,510,0,159232,0,0,0,0,34514,1481410,101630,1170148,0,135192,4608,147456,0,147351486,3060930,6172288,0,5236226,8958452,4488898,0,0,13001669,5679187
1285339f670e8220,memcpyHtoD,1.728,5211,,,,,,,,,,,0,0,8,0
1285339f670ffda0,main_58_gpu,5478.37,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191064,37863,135823,18073,583,0,193052,0,0,2915,0,516576,2656277,159980,1865028,0,149190,4688,150016,0,143022175,3136000,9266760,0,5244418,8957260,4780803,0,0,12962561,5917345
1285339f6763a2e0,main_62_gpu_red,20.416,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3197,514,3056,0,1,8,256,0,86328,11431,2056,0,1,2084,1,0,0,2860,2
1285339f67640180,memcpyDtoHasync,2.24,5510,,,,,,,,,,,0,0,8,0
